city,Method,GMM Parameter,National Holiday TP,Culture Event TP,Extreme Weather TP,Overall TP,Overall FP,Overall TN,Overall FN,Precision,Recall,NationalHoliday,CultureEvent,ExtremeWeather
Taipei,CommPCAStandardize,4-0.0,0,0,0,0,0,609,29,0.0,0.0,22,4,3
Taipei,CommPCAStandardize,4-0.01,1,0,2,3,3,606,26,0.5,0.10344827586206896,22,4,3
Taipei,CommPCAStandardize,4-0.02,1,0,3,4,8,601,25,0.3333333333333333,0.13793103448275862,22,4,3
Taipei,CommPCAStandardize,4-0.03,3,0,3,6,13,596,23,0.3157894736842105,0.20689655172413796,22,4,3
Taipei,CommPCAStandardize,4-0.04,6,0,3,9,16,593,20,0.36,0.3103448275862069,22,4,3
Taipei,CommPCAStandardize,4-0.05,7,0,3,10,21,588,19,0.3225806451612903,0.3448275862068966,22,4,3
Taipei,CommPCAStandardize,4-0.06,10,1,3,14,24,585,15,0.3684210526315789,0.4827586206896552,22,4,3
Taipei,CommPCAStandardize,4-0.07,10,1,3,14,30,579,15,0.3181818181818182,0.4827586206896552,22,4,3
Taipei,CommPCAStandardize,4-0.08,13,1,3,17,34,575,12,0.3333333333333333,0.5862068965517241,22,4,3
Taipei,CommPCAStandardize,4-0.09,15,1,3,19,38,571,10,0.3333333333333333,0.6551724137931034,22,4,3
Taipei,CommPCAStandardize,4-0.1,16,1,3,20,43,566,9,0.31746031746031744,0.6896551724137931,22,4,3
Taipei,CommPCAStandardize,4-0.11,18,1,3,22,48,561,7,0.3142857142857143,0.7586206896551724,22,4,3
Taipei,CommPCAStandardize,4-0.12,18,1,3,22,54,555,7,0.2894736842105263,0.7586206896551724,22,4,3
Taipei,CommPCAStandardize,4-0.13,19,1,3,23,59,550,6,0.2804878048780488,0.7931034482758621,22,4,3
Taipei,CommPCAStandardize,4-0.14,22,1,3,26,63,546,3,0.2921348314606741,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.15,22,1,3,26,69,540,3,0.2736842105263158,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.16,22,1,3,26,76,533,3,0.2549019607843137,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.17,22,1,3,26,82,527,3,0.24074074074074076,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.18,22,1,3,26,88,521,3,0.2280701754385965,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.19,22,1,3,26,95,514,3,0.21487603305785125,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.2,22,1,3,26,101,508,3,0.2047244094488189,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.21,22,1,3,26,107,502,3,0.19548872180451127,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.22,22,1,3,26,114,495,3,0.18571428571428567,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.23,22,1,3,26,120,489,3,0.1780821917808219,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.24,22,1,3,26,127,482,3,0.16993464052287582,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.25,22,1,3,26,133,476,3,0.16352201257861634,0.8965517241379308,22,4,3
Taipei,CommPCAStandardize,4-0.26,22,2,3,27,138,471,2,0.16363636363636366,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.27,22,2,3,27,145,464,2,0.1569767441860465,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.28,22,2,3,27,151,458,2,0.15168539325842698,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.29,22,2,3,27,158,451,2,0.14594594594594595,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.3,22,2,3,27,164,445,2,0.14136125654450266,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.31,22,2,3,27,170,439,2,0.13705583756345174,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.32,22,2,3,27,177,432,2,0.1323529411764706,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.33,22,2,3,27,183,426,2,0.12857142857142856,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.34,22,2,3,27,189,420,2,0.125,0.9310344827586208,22,4,3
Taipei,CommPCAStandardize,4-0.35,22,3,3,28,195,414,1,0.12556053811659193,0.9655172413793104,22,4,3
Taipei,CommPCAStandardize,4-0.36,22,3,3,28,201,408,1,0.1222707423580786,0.9655172413793104,22,4,3
Taipei,CommPCAStandardize,4-0.37,22,4,3,29,207,402,0,0.1228813559322034,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.38,22,4,3,29,213,396,0,0.11983471074380166,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.39,22,4,3,29,219,390,0,0.11693548387096775,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.4,22,4,3,29,226,383,0,0.11372549019607844,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.41,22,4,3,29,232,377,0,0.1111111111111111,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.42,22,4,3,29,238,371,0,0.10861423220973784,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.43,22,4,3,29,245,364,0,0.10583941605839416,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.44,22,4,3,29,251,358,0,0.10357142857142858,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.45,22,4,3,29,258,351,0,0.1010452961672474,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.46,22,4,3,29,264,345,0,0.09897610921501708,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.47,22,4,3,29,270,339,0,0.09698996655518397,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.48,22,4,3,29,277,332,0,0.09477124183006536,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.49,22,4,3,29,283,326,0,0.09294871794871797,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.5,22,4,3,29,290,319,0,0.09090909090909093,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.51,22,4,3,29,296,313,0,0.08923076923076922,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.52,22,4,3,29,302,307,0,0.08761329305135952,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.53,22,4,3,29,309,300,0,0.08579881656804733,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.54,22,4,3,29,315,294,0,0.08430232558139535,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.55,22,4,3,29,321,288,0,0.08285714285714285,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.56,22,4,3,29,328,281,0,0.08123249299719887,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.57,22,4,3,29,334,275,0,0.07988980716253444,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.58,22,4,3,29,341,268,0,0.07837837837837837,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.59,22,4,3,29,347,262,0,0.07712765957446809,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.6,22,4,3,29,353,256,0,0.07591623036649214,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.61,22,4,3,29,360,249,0,0.07455012853470437,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.62,22,4,3,29,366,243,0,0.07341772151898733,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.63,22,4,3,29,372,237,0,0.07231920199501247,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.64,22,4,3,29,379,230,0,0.07107843137254903,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.65,22,4,3,29,385,224,0,0.07004830917874398,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.66,22,4,3,29,392,217,0,0.0688836104513064,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.67,22,4,3,29,398,211,0,0.06791569086651053,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.68,22,4,3,29,404,205,0,0.06697459584295612,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.69,22,4,3,29,411,198,0,0.0659090909090909,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.7,22,4,3,29,417,192,0,0.06502242152466367,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.71,22,4,3,29,423,186,0,0.06415929203539822,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.72,22,4,3,29,430,179,0,0.06318082788671024,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.73,22,4,3,29,436,173,0,0.06236559139784946,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.74,22,4,3,29,443,166,0,0.0614406779661017,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.75,22,4,3,29,449,160,0,0.06066945606694561,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.76,22,4,3,29,455,154,0,0.05991735537190083,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.77,22,4,3,29,462,147,0,0.059063136456211814,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.78,22,4,3,29,468,141,0,0.058350100603621724,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.79,22,4,3,29,475,134,0,0.057539682539682536,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.8,22,4,3,29,481,128,0,0.056862745098039215,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.81,22,4,3,29,487,122,0,0.0562015503875969,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.82,22,4,3,29,494,115,0,0.05544933078393882,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.83,22,4,3,29,500,109,0,0.054820415879017016,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.84,22,4,3,29,506,103,0,0.05420560747663551,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.85,22,4,3,29,513,96,0,0.05350553505535055,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.86,22,4,3,29,519,90,0,0.05291970802919708,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.87,22,4,3,29,526,83,0,0.05225225225225225,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.88,22,4,3,29,532,77,0,0.051693404634581115,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.89,22,4,3,29,538,71,0,0.05114638447971781,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.9,22,4,3,29,545,64,0,0.050522648083623695,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.91,22,4,3,29,551,58,0,0.05,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.92,22,4,3,29,557,52,0,0.04948805460750853,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.93,22,4,3,29,564,45,0,0.04890387858347386,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.94,22,4,3,29,570,39,0,0.048414023372287146,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.95,22,4,3,29,577,32,0,0.047854785478547865,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.96,22,4,3,29,583,26,0,0.04738562091503268,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.97,22,4,3,29,589,20,0,0.04692556634304207,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.98,22,4,3,29,596,13,0,0.0464,1.0,22,4,3
Taipei,CommPCAStandardize,4-0.99,22,4,3,29,602,7,0,0.04595879556259905,1.0,22,4,3
NewYork,CommPCAStandardize,3-0.0,0,0,0,0,0,557,22,0.0,0.0,16,3,3
NewYork,CommPCAStandardize,3-0.01,1,0,1,2,3,554,20,0.4,0.09090909090909093,16,3,3
NewYork,CommPCAStandardize,3-0.02,4,0,2,6,5,552,16,0.5454545454545454,0.2727272727272727,16,3,3
NewYork,CommPCAStandardize,3-0.03,8,0,2,10,7,550,12,0.5882352941176471,0.4545454545454545,16,3,3
NewYork,CommPCAStandardize,3-0.04,10,0,2,12,11,546,10,0.5217391304347826,0.5454545454545454,16,3,3
NewYork,CommPCAStandardize,3-0.05,11,0,2,13,15,542,9,0.4642857142857143,0.5909090909090909,16,3,3
NewYork,CommPCAStandardize,3-0.06,11,0,3,14,20,537,8,0.4117647058823529,0.6363636363636364,16,3,3
NewYork,CommPCAStandardize,3-0.07,12,0,3,15,25,532,7,0.375,0.6818181818181818,16,3,3
NewYork,CommPCAStandardize,3-0.08,12,1,3,16,30,527,6,0.3478260869565217,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.09,12,1,3,16,36,521,6,0.3076923076923077,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.1,12,1,3,16,41,516,6,0.2807017543859649,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.11,12,1,3,16,47,510,6,0.25396825396825395,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.12,12,1,3,16,53,504,6,0.2318840579710145,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.13,12,1,3,16,59,498,6,0.21333333333333332,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.14,12,1,3,16,65,492,6,0.19753086419753085,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.15,12,1,3,16,70,487,6,0.18604651162790695,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.16,12,1,3,16,76,481,6,0.17391304347826084,0.7272727272727273,16,3,3
NewYork,CommPCAStandardize,3-0.17,13,1,3,17,81,476,5,0.17346938775510204,0.7727272727272727,16,3,3
NewYork,CommPCAStandardize,3-0.18,13,1,3,17,87,470,5,0.16346153846153846,0.7727272727272727,16,3,3
NewYork,CommPCAStandardize,3-0.19,13,2,3,18,92,465,4,0.16363636363636366,0.8181818181818182,16,3,3
NewYork,CommPCAStandardize,3-0.2,13,2,3,18,97,460,4,0.1565217391304348,0.8181818181818182,16,3,3
NewYork,CommPCAStandardize,3-0.21,13,2,3,18,103,454,4,0.1487603305785124,0.8181818181818182,16,3,3
NewYork,CommPCAStandardize,3-0.22,13,2,3,18,109,448,4,0.14173228346456693,0.8181818181818182,16,3,3
NewYork,CommPCAStandardize,3-0.23,13,2,3,18,115,442,4,0.13533834586466165,0.8181818181818182,16,3,3
NewYork,CommPCAStandardize,3-0.24,13,3,3,19,119,438,3,0.13768115942028986,0.8636363636363636,16,3,3
NewYork,CommPCAStandardize,3-0.25,13,3,3,19,125,432,3,0.13194444444444445,0.8636363636363636,16,3,3
NewYork,CommPCAStandardize,3-0.26,13,2,3,18,132,425,4,0.12,0.8181818181818182,16,3,3
NewYork,CommPCAStandardize,3-0.27,14,3,3,20,136,421,2,0.1282051282051282,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.28,14,3,3,20,142,415,2,0.12345679012345677,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.29,16,3,3,22,145,412,0,0.1317365269461078,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.3,15,2,3,20,153,404,2,0.11560693641618495,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.31,15,2,3,20,159,398,2,0.111731843575419,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.32,15,2,3,20,165,392,2,0.10810810810810813,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.33,16,2,3,21,170,387,1,0.1099476439790576,0.9545454545454546,16,3,3
NewYork,CommPCAStandardize,3-0.34,14,3,3,20,176,381,2,0.1020408163265306,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.35,14,3,3,20,182,375,2,0.099009900990099,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.36,14,3,3,20,188,369,2,0.09615384615384616,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.37,14,3,3,20,194,363,2,0.09345794392523364,0.9090909090909092,16,3,3
NewYork,CommPCAStandardize,3-0.38,16,3,3,22,198,359,0,0.1,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.39,16,3,3,22,203,354,0,0.09777777777777777,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.4,16,3,3,22,209,348,0,0.09523809523809523,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.41,16,3,3,22,215,342,0,0.09282700421940927,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.42,16,3,3,22,221,336,0,0.09053497942386833,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.43,16,3,3,22,226,331,0,0.08870967741935484,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.44,16,3,3,22,232,325,0,0.08661417322834647,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.45,16,3,3,22,238,319,0,0.08461538461538462,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.46,16,3,3,22,244,313,0,0.08270676691729323,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.47,16,3,3,22,250,307,0,0.08088235294117647,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.48,16,3,3,22,255,302,0,0.07942238267148015,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.49,16,3,3,22,261,296,0,0.07773851590106008,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.5,16,3,3,22,267,290,0,0.07612456747404844,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.51,16,3,3,22,273,284,0,0.07457627118644068,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.52,16,3,3,22,279,278,0,0.07308970099667775,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.53,16,3,3,22,284,273,0,0.0718954248366013,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.54,16,3,3,22,290,267,0,0.07051282051282051,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.55,16,3,3,22,296,261,0,0.06918238993710693,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.56,16,3,3,22,302,255,0,0.06790123456790123,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.57,16,3,3,22,308,249,0,0.06666666666666668,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.58,16,3,3,22,313,244,0,0.06567164179104477,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.59,16,3,3,22,319,238,0,0.06451612903225806,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.6,16,3,3,22,325,232,0,0.06340057636887607,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.61,16,3,3,22,331,226,0,0.06232294617563739,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.62,16,3,3,22,336,221,0,0.06145251396648045,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.63,16,3,3,22,342,215,0,0.06043956043956044,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.64,16,3,3,22,348,209,0,0.05945945945945946,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.65,16,3,3,22,354,203,0,0.058510638297872335,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.66,16,3,3,22,360,197,0,0.05759162303664921,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.67,16,3,3,22,365,192,0,0.05684754521963824,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.68,16,3,3,22,371,186,0,0.055979643765903316,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.69,16,3,3,22,377,180,0,0.05513784461152882,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.7,16,3,3,22,383,174,0,0.05432098765432099,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.71,16,3,3,22,389,168,0,0.0535279805352798,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.72,16,3,3,22,394,163,0,0.05288461538461538,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.73,16,3,3,22,400,157,0,0.05213270142180095,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.74,16,3,3,22,406,151,0,0.0514018691588785,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.75,16,3,3,22,412,145,0,0.05069124423963134,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.76,16,3,3,22,418,139,0,0.05,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.77,16,3,3,22,423,134,0,0.04943820224719101,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.78,16,3,3,22,429,128,0,0.04878048780487805,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.79,16,3,3,22,435,122,0,0.04814004376367615,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.8,16,3,3,22,441,116,0,0.04751619870410368,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.81,16,3,3,22,446,111,0,0.047008547008547015,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.82,16,3,3,22,452,105,0,0.04641350210970464,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.83,16,3,3,22,458,99,0,0.04583333333333333,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.84,16,3,3,22,464,93,0,0.045267489711934165,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.85,16,3,3,22,470,87,0,0.044715447154471545,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.86,16,3,3,22,475,82,0,0.044265593561368215,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.87,16,3,3,22,481,76,0,0.0437375745526839,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.88,16,3,3,22,487,70,0,0.04322200392927309,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.89,16,3,3,22,493,64,0,0.04271844660194175,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.9,16,3,3,22,499,58,0,0.04222648752399232,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.91,16,3,3,22,504,53,0,0.04182509505703422,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.92,16,3,3,22,510,47,0,0.04135338345864661,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.93,16,3,3,22,516,41,0,0.04089219330855018,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.94,16,3,3,22,522,35,0,0.04044117647058824,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.95,16,3,3,22,528,29,0,0.04,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.96,16,3,3,22,533,24,0,0.03963963963963964,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.97,16,3,3,22,539,18,0,0.0392156862745098,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.98,16,3,3,22,545,12,0,0.03880070546737213,1.0,16,3,3
NewYork,CommPCAStandardize,3-0.99,16,3,3,22,551,6,0,0.038394415357766144,1.0,16,3,3
Taipei,CommAEStandardize,4-0.0,0,0,0,0,0,609,29,0.0,0.0,22,4,3
Taipei,CommAEStandardize,4-0.01,4,0,2,6,0,609,23,1.0,0.20689655172413796,22,4,3
Taipei,CommAEStandardize,4-0.02,5,0,3,8,4,605,21,0.6666666666666666,0.27586206896551724,22,4,3
Taipei,CommAEStandardize,4-0.03,5,0,3,8,11,598,21,0.42105263157894735,0.27586206896551724,22,4,3
Taipei,CommAEStandardize,4-0.04,7,0,3,10,15,594,19,0.4,0.3448275862068966,22,4,3
Taipei,CommAEStandardize,4-0.05,9,0,3,12,19,590,17,0.3870967741935484,0.4137931034482759,22,4,3
Taipei,CommAEStandardize,4-0.06,11,0,3,14,24,585,15,0.3684210526315789,0.4827586206896552,22,4,3
Taipei,CommAEStandardize,4-0.07,13,0,3,16,28,581,13,0.3636363636363637,0.5517241379310345,22,4,3
Taipei,CommAEStandardize,4-0.08,14,0,3,17,34,575,12,0.3333333333333333,0.5862068965517241,22,4,3
Taipei,CommAEStandardize,4-0.09,14,0,3,17,40,569,12,0.2982456140350877,0.5862068965517241,22,4,3
