Trip,rollingmean,rollingstd
315249,,
244834,,
304094,,
315852,,
351104,,
370931,,
330723,318969.5714285714,40024.33035399487
316785,319189.0,40004.73884429194
327014,330929.0,22985.67010117392
329600,334572.71428571426,19827.416285825777
344464,338660.14285714284,18207.972168151817
354216,339104.71428571426,18596.294915155257
379369,340310.14285714284,21107.11547818708
377046,346927.71428571426,24576.83893909255
337081,349827.14285714284,21422.938752877126
279626,343057.4285714286,33765.39545085148
351051,346121.85714285716,33310.83738279268
349969,346908.28571428574,33330.15164339085
360255,347771.0,33627.65779830645
373548,346939.4285714286,32777.26794012961
363821,345050.14285714284,31090.437353140027
320237,342643.85714285716,32432.866850509192
322289,348738.5714285714,20389.524302585287
348099,348316.85714285716,20364.23757823648
351525,348539.14285714284,20393.748065102176
371853,350196.0,21918.364286597705
398054,353696.85714285716,27512.931543964172
404232,359469.85714285716,33565.30476761471
334093,361449.28571428574,31190.59404539714
312741,360085.28571428574,33324.32692350685
337928,358632.28571428574,34145.66929941136
357345,359463.71428571426,34014.37213744748
382619,361001.71428571426,34899.80854634349
408732,362527.14285714284,36961.6909580202
403662,362445.71428571426,36854.97374717236
337644,362953.0,36421.56364939139
314078,363144.0,36116.586923462215
352018,365156.85714285716,34847.350853059
360466,365602.71428571426,34750.574761262535
215391,341713.0,65223.450110626145
386730,338569.85714285716,61901.0220228729
409774,339443.0,63005.45666051477
357820,342325.28571428574,63369.879997556935
346397,346942.28571428574,62134.13317094529
373435,350001.85714285716,62947.69948517731
375568,352159.28571428574,63621.30815933262
398331,378293.5714285714,22103.099728749392
388138,378494.71428571426,22198.86762663257
363219,371844.0,17804.812420616207
331407,368070.71428571426,23241.065198725857
286927,359575.0,38406.15189002929
318460,351721.4285714286,40654.619568822905
340702,346740.5714285714,39361.34911668705
364813,341952.28571428574,33666.10911938151
385483,341573.0,33068.70952526987
410943,348390.71428571426,41991.10279854652
353252,351511.4285714286,41324.992094603636
331985,357948.28571428574,32058.880515463512
350492,362524.28571428574,27435.75518500324
371558,366932.28571428574,25773.715834251856
404614,372618.14285714284,29367.850865805493
432341,379312.14285714284,37109.00980188222
443989,384033.0,43376.358637703386
355345,384332.0,43135.3615726123
334532,384695.85714285716,42627.966866164934
360070,386064.14285714284,41485.509339320575
370406,385899.5714285714,41554.8725215914
393211,384270.5714285714,40917.592479100145
416498,382007.28571428574,38160.80026115055
439480,381363.14285714284,36959.33711720026
364432,382661.28571428574,36041.363314550515
364721,386974.0,30738.435207407645
105747,350642.14285714284,111649.66174217845
320759,343549.71428571426,111761.76759774087
349183,337260.0,109721.40724580601
355326,328521.14285714284,104678.77020585186
406311,323782.71428571426,99438.50239337936
331252,319042.71428571426,97957.68401834597
308962,311077.14285714284,95869.01642941205
329739,343076.0,32055.990610180965
