start_id,end_id,amount
BL01,BL01,26603.0
BL01,BL02,110416.0
BL01,BL03,90774.0
BL01,BL04,239364.0
BL01,BL05,197903.0
BL01,BL06,285746.0
BL01,BL07,504941.0
BL01,BL08,265707.0
BL01,BL09,101277.0
BL01,BL10,145237.0
BL01,BL11,232118.0
BL01,BL12,285233.0
BL01,BL13,81982.0
BL01,BL14,79242.0
BL01,BL15,107723.0
BL01,BL16,106756.0
BL01,BL17,62349.0
BL01,BL18,162083.0
BL01,BL19,41325.0
BL01,BL20,33996.0
BL01,BL21,38487.0
BL01,BL22,27675.0
BL01,BL23,63259.0
BL01,BR01,10182.0
BL01,BR02,3442.0
BL01,BR03,1398.0
BL01,BR04,14328.0
BL01,BR05,2382.0
BL01,BR06,4172.0
BL01,BR07,15374.0
BL01,BR08,20984.0
BL01,BR09,27958.0
BL01,BR11,79725.0
BL01,BR12,33541.0
BL01,BR13,11582.0
BL01,BR14,11940.0
BL01,BR15,16493.0
BL01,BR16,38085.0
BL01,BR17,26175.0
BL01,BR18,5484.0
BL01,BR19,10705.0
BL01,BR20,2757.0
BL01,BR21,5313.0
BL01,BR22,8007.0
BL01,BR23,5516.0
BL01,G01,9576.0
BL01,G02,8232.0
BL01,G03,16201.0
BL01,G03A,2305.0
BL01,G04,29658.0
BL01,G05,18574.0
BL01,G06,9267.0
BL01,G07,40748.0
BL01,G08,25861.0
BL01,G09,42476.0
BL01,G10,43703.0
BL01,G11,15266.0
BL01,G13,21491.0
BL01,G14,70304.0
BL01,G15,76456.0
BL01,G17,60515.0
BL01,G18,48528.0
BL01,G19,32615.0
BL01,O01,17802.0
BL01,O02,9114.0
BL01,O03,16284.0
BL01,O04,30574.0
BL01,O06,26500.0
BL01,O09,48203.0
BL01,O10,28521.0
BL01,O11,36375.0
BL01,O12,7236.0
BL01,O13,7983.0
BL01,O14,4682.0
BL01,O15,2563.0
BL01,O16,1858.0
BL01,O17,810.0
BL01,O18,1749.0
BL01,O19,1821.0
BL01,O20,1484.0
BL01,O21,2182.0
BL01,OO50,9422.0
BL01,OO51,8453.0
BL01,OO52,12305.0
BL01,OO53,12271.0
BL01,OO54,9690.0
BL01,R02,7915.0
BL01,R03,40004.0
BL01,R04,18653.0
BL01,R06,11860.0
BL01,R09,27535.0
BL01,R12,39960.0
BL01,R14,26938.0
BL01,R15,38546.0
BL01,R16,33750.0
BL01,R17,25020.0
BL01,R18,11160.0
BL01,R19,32898.0
BL01,R20,5106.0
BL01,R21,8550.0
BL01,R22,12521.0
BL01,R22A,4747.0
BL01,R23,3016.0
BL01,R24,2191.0
BL01,R25,9808.0
BL01,R26,6052.0
BL01,R27,3662.0
BL01,R28,37211.0
BL02,BL01,124042.0
BL02,BL02,33310.0
BL02,BL03,87301.0
BL02,BL04,339316.0
BL02,BL05,269605.0
BL02,BL06,303407.0
BL02,BL07,576863.0
BL02,BL08,421896.0
BL02,BL09,154877.0
BL02,BL10,212323.0
BL02,BL11,396178.0
BL02,BL12,527275.0
BL02,BL13,147715.0
BL02,BL14,158609.0
BL02,BL15,221632.0
BL02,BL16,158259.0
BL02,BL17,112498.0
BL02,BL18,258855.0
BL02,BL19,63772.0
BL02,BL20,52399.0
BL02,BL21,63292.0
BL02,BL22,42520.0
BL02,BL23,92185.0
BL02,BR01,19567.0
BL02,BR02,5868.0
BL02,BR03,2654.0
BL02,BR04,23114.0
BL02,BR05,3365.0
BL02,BR06,6451.0
BL02,BR07,21743.0
BL02,BR08,34896.0
BL02,BR09,41799.0
BL02,BR11,132805.0
BL02,BR12,54797.0
BL02,BR13,22920.0
BL02,BR14,24755.0
BL02,BR15,25492.0
BL02,BR16,58833.0
BL02,BR17,37691.0
BL02,BR18,7644.0
BL02,BR19,14514.0
BL02,BR20,4696.0
BL02,BR21,10288.0
BL02,BR22,13649.0
BL02,BR23,5599.0
BL02,G01,16205.0
BL02,G02,14181.0
BL02,G03,21020.0
BL02,G03A,2303.0
BL02,G04,38936.0
BL02,G05,29008.0
BL02,G06,17038.0
BL02,G07,72759.0
BL02,G08,47510.0
BL02,G09,68972.0
BL02,G10,81608.0
BL02,G11,35876.0
BL02,G13,45087.0
BL02,G14,112628.0
BL02,G15,142888.0
BL02,G17,92435.0
BL02,G18,87052.0
BL02,G19,43802.0
BL02,O01,23725.0
BL02,O02,14435.0
BL02,O03,28771.0
BL02,O04,41980.0
BL02,O06,42179.0
BL02,O09,96745.0
BL02,O10,38805.0
BL02,O11,53383.0
BL02,O12,14883.0
BL02,O13,11840.0
BL02,O14,9483.0
BL02,O15,4005.0
BL02,O16,2053.0
BL02,O17,1418.0
BL02,O18,2852.0
BL02,O19,3053.0
BL02,O20,2051.0
BL02,O21,2414.0
BL02,OO50,15987.0
BL02,OO51,16126.0
BL02,OO52,16954.0
BL02,OO53,14887.0
BL02,OO54,13742.0
BL02,R02,14334.0
BL02,R03,72450.0
BL02,R04,31910.0
BL02,R06,17971.0
BL02,R09,55602.0
BL02,R12,72575.0
BL02,R14,46349.0
BL02,R15,70081.0
BL02,R16,64655.0
BL02,R17,45334.0
BL02,R18,24074.0
BL02,R19,71286.0
BL02,R20,10294.0
BL02,R21,11512.0
BL02,R22,23761.0
BL02,R22A,11430.0
BL02,R23,3715.0
BL02,R24,5023.0
BL02,R25,15872.0
BL02,R26,9145.0
BL02,R27,7922.0
BL02,R28,65220.0
BL03,BL01,101600.0
BL03,BL02,89611.0
BL03,BL03,21680.0
BL03,BL04,145642.0
BL03,BL05,145285.0
BL03,BL06,231771.0
BL03,BL07,431750.0
BL03,BL08,212073.0
BL03,BL09,81284.0
BL03,BL10,119822.0
BL03,BL11,212651.0
BL03,BL12,266671.0
BL03,BL13,81839.0
BL03,BL14,79735.0
BL03,BL15,116272.0
BL03,BL16,103226.0
BL03,BL17,55165.0
BL03,BL18,176514.0
BL03,BL19,44725.0
BL03,BL20,30141.0
BL03,BL21,37273.0
BL03,BL22,25937.0
BL03,BL23,52662.0
BL03,BR01,9066.0
BL03,BR02,2963.0
BL03,BR03,1757.0
BL03,BR04,12105.0
BL03,BR05,1851.0
BL03,BR06,2596.0
BL03,BR07,14476.0
BL03,BR08,24550.0
BL03,BR09,32007.0
BL03,BR11,78044.0
BL03,BR12,25022.0
BL03,BR13,10964.0
BL03,BR14,13439.0
BL03,BR15,16941.0
BL03,BR16,37500.0
BL03,BR17,23374.0
BL03,BR18,4434.0
BL03,BR19,6695.0
BL03,BR20,2497.0
BL03,BR21,5417.0
BL03,BR22,6557.0
BL03,BR23,5658.0
BL03,G01,11703.0
BL03,G02,8972.0
BL03,G03,12999.0
BL03,G03A,1828.0
BL03,G04,22577.0
BL03,G05,17629.0
BL03,G06,8106.0
BL03,G07,40744.0
BL03,G08,25531.0
BL03,G09,39044.0
BL03,G10,40326.0
BL03,G11,20018.0
BL03,G13,25094.0
BL03,G14,71424.0
BL03,G15,70106.0
BL03,G17,54946.0
BL03,G18,44955.0
BL03,G19,29537.0
BL03,O01,11594.0
BL03,O02,6446.0
BL03,O03,11777.0
BL03,O04,19286.0
BL03,O06,28630.0
BL03,O09,48426.0
BL03,O10,23261.0
BL03,O11,28470.0
BL03,O12,8464.0
BL03,O13,7022.0
BL03,O14,5603.0
BL03,O15,2622.0
BL03,O16,1642.0
BL03,O17,1062.0
BL03,O18,1729.0
BL03,O19,1526.0
BL03,O20,1087.0
BL03,O21,1001.0
BL03,OO50,9018.0
BL03,OO51,9113.0
BL03,OO52,8822.0
BL03,OO53,7480.0
BL03,OO54,6673.0
BL03,R02,7831.0
BL03,R03,48458.0
BL03,R04,18584.0
BL03,R06,10278.0
BL03,R09,32130.0
BL03,R12,42873.0
BL03,R14,27214.0
BL03,R15,38028.0
BL03,R16,34795.0
BL03,R17,25831.0
BL03,R18,9589.0
BL03,R19,29703.0
BL03,R20,5301.0
BL03,R21,6811.0
BL03,R22,9853.0
BL03,R22A,5816.0
BL03,R23,1948.0
BL03,R24,4766.0
BL03,R25,9678.0
BL03,R26,5158.0
BL03,R27,3550.0
BL03,R28,34603.0
BL04,BL01,247170.0
BL04,BL02,354158.0
BL04,BL03,161451.0
BL04,BL04,65549.0
BL04,BL05,357122.0
BL04,BL06,638736.0
BL04,BL07,1310841.0
BL04,BL08,626765.0
BL04,BL09,236161.0
BL04,BL10,285507.0
BL04,BL11,650622.0
BL04,BL12,784824.0
BL04,BL13,236561.0
BL04,BL14,277438.0
BL04,BL15,347773.0
BL04,BL16,334954.0
BL04,BL17,189081.0
BL04,BL18,530002.0
BL04,BL19,109573.0
BL04,BL20,83229.0
BL04,BL21,107298.0
BL04,BL22,71054.0
BL04,BL23,158343.0
BL04,BR01,26628.0
BL04,BR02,11629.0
BL04,BR03,2873.0
BL04,BR04,36520.0
BL04,BR05,5344.0
BL04,BR06,7891.0
BL04,BR07,46855.0
BL04,BR08,69423.0
BL04,BR09,97473.0
BL04,BR11,241396.0
BL04,BR12,74297.0
BL04,BR13,31688.0
BL04,BR14,33849.0
BL04,BR15,43767.0
BL04,BR16,127207.0
BL04,BR17,76696.0
BL04,BR18,9992.0
BL04,BR19,18404.0
BL04,BR20,5353.0
BL04,BR21,16306.0
BL04,BR22,12355.0
BL04,BR23,16270.0
BL04,G01,34186.0
BL04,G02,24358.0
BL04,G03,45582.0
BL04,G03A,5099.0
BL04,G04,65564.0
BL04,G05,44898.0
BL04,G06,20005.0
BL04,G07,127057.0
BL04,G08,77159.0
BL04,G09,122017.0
BL04,G10,134085.0
BL04,G11,69395.0
BL04,G13,82146.0
BL04,G14,204857.0
BL04,G15,264958.0
BL04,G17,181878.0
BL04,G18,145202.0
BL04,G19,92775.0
BL04,O01,29348.0
BL04,O02,15862.0
BL04,O03,38035.0
BL04,O04,58182.0
BL04,O06,74969.0
BL04,O09,149629.0
BL04,O10,72131.0
BL04,O11,96196.0
BL04,O12,24139.0
BL04,O13,19677.0
BL04,O14,16655.0
BL04,O15,6435.0
BL04,O16,4298.0
BL04,O17,2327.0
BL04,O18,3970.0
BL04,O19,5015.0
BL04,O20,3070.0
BL04,O21,3242.0
BL04,OO50,24708.0
BL04,OO51,23460.0
BL04,OO52,24550.0
BL04,OO53,20247.0
BL04,OO54,21733.0
BL04,R02,25002.0
BL04,R03,163470.0
BL04,R04,62610.0
BL04,R06,37691.0
BL04,R09,85074.0
BL04,R12,124137.0
BL04,R14,74489.0
BL04,R15,114467.0
BL04,R16,99670.0
BL04,R17,65848.0
BL04,R18,31207.0
BL04,R19,96211.0
BL04,R20,17653.0
BL04,R21,19359.0
BL04,R22,27382.0
BL04,R22A,13739.0
BL04,R23,5488.0
BL04,R24,7931.0
BL04,R25,33124.0
BL04,R26,12304.0
BL04,R27,14083.0
BL04,R28,97642.0
BL05,BL01,199036.0
BL05,BL02,284295.0
BL05,BL03,156667.0
BL05,BL04,383252.0
BL05,BL05,53110.0
BL05,BL06,424758.0
BL05,BL07,1061477.0
BL05,BL08,827332.0
BL05,BL09,413247.0
BL05,BL10,320174.0
BL05,BL11,635607.0
BL05,BL12,734671.0
BL05,BL13,274026.0
BL05,BL14,252828.0
BL05,BL15,385040.0
BL05,BL16,410141.0
BL05,BL17,223686.0
BL05,BL18,598368.0
BL05,BL19,146485.0
BL05,BL20,96058.0
BL05,BL21,117727.0
BL05,BL22,72981.0
BL05,BL23,160249.0
BL05,BR01,30414.0
BL05,BR02,13860.0
