date,BL01start,BL02start,BL03start,BL04start,BL05start,BL06start,BL07start,BL08start,BL09start,BL10start,BL11start,BL12start,BL13start,BL14start,BL15start,BL16start,BL17start,BL18start,BL19start,BL20start,BL21start,BL22start,BL23start,BR01start,BR02start,BR03start,BR04start,BR05start,BR06start,BR07start,BR08start,BR09start,BR11start,BR12start,BR13start,BR14start,BR15start,BR16start,BR17start,BR18start,BR19start,BR20start,BR21start,BR22start,BR23start,G01start,G02start,G03start,G03Astart,G04start,G05start,G06start,G07start,G08start,G09start,G10start,G11start,G13start,G14start,G15start,G17start,G18start,G19start,O01start,O02start,O03start,O04start,O06start,O09start,O10start,O11start,O12start,O13start,O14start,O15start,O16start,O17start,O18start,O19start,O20start,O21start,OO50start,OO51start,OO52start,OO53start,OO54start,R02start,R03start,R04start,R06start,R09start,R12start,R14start,R15start,R16start,R17start,R18start,R19start,R20start,R21start,R22start,R22Astart,R23start,R24start,R25start,R26start,R27start,R28start,BL01end,BL02end,BL03end,BL04end,BL05end,BL06end,BL07end,BL08end,BL09end,BL10end,BL11end,BL12end,BL13end,BL14end,BL15end,BL16end,BL17end,BL18end,BL19end,BL20end,BL21end,BL22end,BL23end,BR01end,BR02end,BR03end,BR04end,BR05end,BR06end,BR07end,BR08end,BR09end,BR11end,BR12end,BR13end,BR14end,BR15end,BR16end,BR17end,BR18end,BR19end,BR20end,BR21end,BR22end,BR23end,G01end,G02end,G03end,G03Aend,G04end,G05end,G06end,G07end,G08end,G09end,G10end,G11end,G13end,G14end,G15end,G17end,G18end,G19end,O01end,O02end,O03end,O04end,O06end,O09end,O10end,O11end,O12end,O13end,O14end,O15end,O16end,O17end,O18end,O19end,O20end,O21end,OO50end,OO51end,OO52end,OO53end,OO54end,R02end,R03end,R04end,R06end,R09end,R12end,R14end,R15end,R16end,R17end,R18end,R19end,R20end,R21end,R22end,R22Aend,R23end,R24end,R25end,R26end,R27end,R28end
2017-01-01,6292,10268,5591,15834,12955,26456,42135,29606,18572,34387,91749,170214,12688,28022,47003,32730,18371,57737,13797,14182,8181,13052,18082,19130,3874,2131,7413,2350,3781,8296,7909,12690,19585,9568,4427,5440,12384,4794,5478,3710,6717,4621,5205,5601,2154,25069,8913,12821,2576,13532,13424,7840,27910,17294,20079,38283,4341,6996,36499,16531,17087,14183,23913,17326,19111,19888,29465,24876,20210,12601,19162,10541,8827,7009,3634,2398,4140,8294,6950,7540,7499,9628,9001,9500,9597,9645,13893,34769,12370,10933,14485,16814,38817,47175,29430,18913,7762,21150,5734,6801,14919,12373,2943,1957,8887,8603,6870,76751,6326,11444,5696,16834,12256,25559,45609,27781,18745,33240,90262,182456,11765,27321,47858,33109,20386,52606,12230,14070,8289,13226,16404,20454,3631,1668,7744,2171,3517,7652,7580,12833,19869,9086,4217,5303,12453,4891,5549,3741,6575,4814,4869,5760,2119,23884,9639,12342,2701,13575,13723,7464,27520,17059,19059,41111,4120,7025,37178,17194,18003,14230,21404,17737,18716,20478,29864,24706,20910,12093,17581,8700,8910,6751,3809,2301,3733,9268,7692,7318,7896,9675,9007,9907,9831,9607,12631,33753,11854,10855,11988,17218,40527,46837,29979,19613,7821,22411,5597,5937,15733,12194,2972,2067,9518,8439,6473,73538
2017-01-02,5503,8598,5338,15289,13852,22592,37391,28385,17702,28198,71197,168385,9875,24756,43602,29807,16127,48508,12442,12476,7652,13050,16037,12541,3238,1695,8066,1919,3298,7510,7851,11873,19080,9159,5371,5168,10603,4678,5564,3440,6519,3949,4830,5404,2130,17015,8089,11701,1831,13817,11624,7114,23012,13874,19183,18932,3671,6296,33092,16562,10606,13106,17743,16028,17780,18826,26915,20114,18112,11406,16490,10949,7576,5977,3122,2001,3727,7201,5686,6443,6383,9121,8286,8543,8988,8665,9868,24403,10800,7746,10065,14875,26073,33539,23425,16929,8458,20831,5192,5995,13079,8525,2597,2222,8103,7367,4904,49936,5063,8820,5152,15121,12697,21235,36969,26644,17908,27161,71603,151612,10347,25060,43721,31066,18132,45740,12709,12899,8404,11651,14121,13893,3068,1390,8820,1936,3310,7293,7915,12604,19765,8823,4856,6087,10937,5418,5834,3899,6468,4209,4708,5600,2155,15820,8445,11628,1962,13825,12707,7306,25818,14470,20105,20882,4010,6600,33645,17631,11182,14138,15783,16030,17094,19333,27779,20957,18947,11554,15220,8182,7571,5964,3261,1980,3531,7851,7358,6382,6310,9056,7890,8697,8783,7919,9981,23947,11245,7925,10329,15751,24863,34319,24532,17741,8522,22872,5031,5374,14414,8511,2573,2368,9261,7625,5033,52541
2017-01-03,7678,11017,7047,20839,22514,28183,35362,42138,24970,29557,65837,143595,22360,31403,44898,35697,22228,55810,20378,17203,14178,15765,27520,6242,4550,2468,15276,3071,4219,12259,15921,25747,38045,16393,5670,10041,10000,17858,15596,5598,8014,3153,7542,8182,5108,12962,11038,16682,2282,21635,16385,9581,26946,17949,32660,29176,10197,8350,35470,37419,23613,22395,24102,22191,25782,26634,35865,25196,28375,17640,25176,13733,8958,9811,4477,4568,5014,10223,12559,9097,9888,11575,12220,11521,12320,12948,11736,27535,17011,7437,25079,21491,26717,35015,28842,22930,13438,30591,7856,9710,17576,7310,3447,2876,13558,9400,7065,36812,7176,11417,6774,21330,20309,26297,38333,39929,25651,28228,65770,132703,23699,31125,45401,37320,23360,56557,20435,16835,15268,14918,26122,6670,4676,2090,18082,2990,3786,11739,15736,25853,39712,15994,5719,10550,9956,19109,15743,5436,7952,2921,8050,8411,4763,11218,11659,16446,2309,21464,16903,9061,28047,18266,32922,29078,10519,8332,36177,39217,24408,23656,22589,21365,25214,26996,37102,25807,29822,17784,23832,11789,9201,9658,4419,4386,4240,11246,14184,8340,9172,11708,11704,10300,12644,11685,10116,28088,17832,7001,26652,23350,27018,34581,29747,23002,12854,32516,7290,8308,19201,6528,3370,3044,14234,9923,6810,37946
2017-01-04,7638,11119,7155,21350,22717,28560,35019,42831,25863,29741,65268,130716,23023,32350,44950,36096,21050,55313,20368,17072,14739,15386,28347,7416,4690,2601,14870,3171,4186,11979,15625,25866,38191,16416,5316,10427,10928,18039,15840,5841,8335,3535,8633,8460,5030,13681,11113,17040,2254,21858,16893,9399,27658,18174,33250,29934,10107,8308,36203,38054,23850,22478,24216,22005,25496,26845,35550,25280,28029,17902,26305,13610,9070,10167,4752,4673,5327,10979,12691,9267,9998,11648,12580,11834,12726,13028,12359,27839,16935,7992,24838,23049,26970,36835,29640,24980,13558,31760,7966,9914,17840,6882,3538,2968,13927,9976,7047,38332,7157,11801,6979,21847,20526,26903,38023,40080,26395,28024,65677,129821,24350,31460,45591,38327,22099,56898,20440,17012,15456,14800,26901,7541,4725,2135,15762,2951,3930,11643,15186,26029,40438,15947,5212,10597,10737,19242,15934,5577,8163,3370,8762,8637,4759,12160,11876,16459,2370,21345,17023,8898,27199,17934,33454,29218,10350,8312,36603,39726,24682,23548,22817,21139,25226,27108,36803,25608,29347,17801,24803,12010,9214,9972,4765,4438,4633,11812,13558,8393,9315,11826,11818,12400,12983,11863,11033,28041,17900,7502,26562,24649,27575,35761,29220,25431,12852,33006,7359,8617,19393,6378,3499,3102,14414,10301,6650,37545
2017-01-05,7475,11264,7001,21226,22647,28896,35306,43086,26018,29813,65409,132648,23072,33001,46398,37065,20976,56690,20743,17117,14679,15595,29778,7235,4807,2611,15848,3170,4290,12248,15947,26343,39427,16837,5472,10595,11090,18001,15787,5569,8282,3459,8660,8225,4926,13660,11116,16914,2395,22193,16833,9634,27729,18348,33792,30446,9997,8310,36777,38675,24720,22819,24053,22059,25797,27226,36023,25365,29252,18107,26699,13680,8948,10019,4634,4709,5124,11024,12853,9452,10185,11719,12537,11912,12703,13160,12247,27926,17225,8052,24879,22526,27379,35848,29362,23760,13420,32041,7923,10206,17924,6999,3529,2912,14030,10026,7432,38361,7070,11999,6731,21637,20618,27094,38793,40110,26492,28529,65500,133934,24236,32238,47231,38626,22353,58352,20619,16879,15644,15252,27696,7262,4752,2193,16644,2974,3870,11695,15520,26509,41560,16435,5395,10822,10729,19090,15958,5439,8126,3197,8778,8301,4671,11988,11792,16552,2387,21658,16840,8895,26934,18362,33883,30090,10340,8295,37123,40396,25794,23916,22846,21214,25315,27404,36925,25948,30321,18296,25425,12091,9239,9723,4629,4410,4436,11941,13670,8660,9493,11810,11798,12552,13047,11873,10909,28470,18221,7422,26146,24223,27541,34837,29618,24039,12793,32995,7301,8766,19541,6347,3459,3067,14382,10183,6974,37239
2017-01-06,8236,12031,7957,22768,23782,31204,40851,46126,27371,31647,75618,157250,23841,35222,52009,42125,24134,64230,22373,18502,15801,17968,38306,7907,5099,2712,16934,3348,4415,12808,16732,27279,40928,17671,6186,11336,13233,18999,16771,6516,8989,3514,9558,8860,6072,14413,11837,18482,2636,24970,18125,10496,31521,20737,35347,32707,10264,8910,41659,40102,25544,24091,25871,23207,27294,28513,38319,27163,30597,19326,28529,15885,9620,10815,4932,4910,5610,11736,13625,10249,11181,12717,13450,13075,13475,13756,12968,31412,18373,8423,25236,23835,29034,39567,32341,26185,14223,33374,8364,10610,19605,7410,3841,3117,14460,10329,8134,42596,7795,13120,7683,23366,21426,29871,43426,42602,27740,30176,76938,165736,25492,34716,53379,44741,25886,66987,22228,18267,16182,18578,36743,7360,4848,2236,16139,3027,4042,12391,16141,27896,44107,17478,6054,10752,12843,19578,16755,5782,8682,3394,8915,8879,5459,12611,12378,17517,2690,23840,17994,9697,29913,20122,35264,32164,10520,9091,43098,43134,26869,25695,24698,22236,26553,28807,39247,27810,31787,19769,27147,12719,10036,10516,5006,4724,4852,12597,13798,9192,10357,12695,12653,13774,13737,12712,11596,32926,19939,7934,27039,25827,29493,38080,31364,25893,13238,34115,7718,9184,20255,6772,3784,3173,14104,10404,7135,38524
2017-01-07,6269,10497,6506,18747,16992,30258,37853,37002,22420,30229,79365,161911,16175,33405,51424,37199,19578,54020,17156,15277,10262,13772,27371,8495,3364,2143,10583,2836,3700,9110,11627,15997,24887,11764,4584,7479,14152,6552,7139,4612,7916,3717,6365,6755,2409,15664,9907,14856,2159,17891,18043,9196,32168,19200,29149,26375,5380,7503,40299,20861,18854,16616,20873,19482,22470,24100,33443,25305,23007,14538,20778,12852,9431,8146,4199,2943,5608,12120,10057,8603,8915,11120,10405,11973,11385,11652,9494,26296,13468,9812,14510,20724,28979,39878,28664,22037,10176,26176,6640,7301,16724,7956,3625,2591,9052,8878,5784,41469,6151,11384,6398,18417,15278,29155,39050,33767,22352,28781,81380,164425,17271,33070,52377,40421,22215,55666,16384,15481,10073,14199,25158,8800,3292,1745,10393,2746,3453,8920,11383,17015,26277,11540,4365,7477,14530,6726,7187,4447,7457,3635,6116,6684,2271,14707,10038,13928,2378,17368,17552,8530,31310,18790,29111,25841,5816,7894,42536,22339,20232,17629,19741,18875,21244,23869,33001,25991,23972,14756,19429,10249,9370,7896,4268,2935,5477,12818,10448,7869,8784,10978,9615,12113,11242,10536,8997,27293,14312,9744,15473,22181,29332,38518,28928,22430,9646,26712,6065,6279,17402,8241,3269,2262,9326,8847,5686,39904
2017-01-08,5756,8822,5335,15361,12882,23819,32514,29315,17908,26790,67725,150220,13115,25434,40958,29255,15332,45732,13947,12605,7753,11399,19469,7445,2578,1710,7153,2211,3296,6968,8512,12821,18285,8771,4224,5580,10590,4932,5551,3452,6135,3110,5098,5347,1899,12206,7677,11206,1954,14046,13800,7279,22969,15345,20845,21937,4872,6186,33291,16386,11330,13397,16092,15621,17571,18910,26577,21113,18456,11898,18899,11271,7474,6513,3294,2362,4192,7599,6445,6981,7123,8957,8604,9659,9220,8927,8078,23735,10428,8437,11001,15165,26584,31176,21644,17346,7336,19627,5183,6616,13053,7232,2724,1710,7109,7186,5560,35223,5602,9042,5198,15045,11795,22520,32770,26988,18083,25890,68329,143466,13584,25372,40828,30695,17336,44939,14237,12960,8033,11271,18093,7862,2667,1524,8271,2151,3231,6923,8374,13249,18987,8674,4167,6133,11067,5296,5611,3633,6186,3092,5241,5563,1924,11560,8063,10796,2063,13986,14134,7081,23560,15404,20759,23934,5237,6330,33797,17229,12174,14314,15024,15346,16786,19050,26925,22101,19036,11636,17372,8410,7450,6401,3479,2283,4062,8127,7315,6625,6871,8952,8104,9720,8877,8291,7887,23980,10785,8556,11708,15719,25134,30378,22565,17917,7394,20682,4964,5834,14508,7329,2745,1625,8138,7430,5792,36115
2017-01-09,7667,11190,7090,21056,22508,27790,34973,41761,25447,29229,64815,135443,21463,30832,43990,35186,20724,55852,19709,16914,14262,15355,27865,5032,4617,2454,14749,3061,4078,11595,15105,25303,37797,16135,5199,10038,10908,17388,15454,5461,8075,3131,8109,8071,4919,12866,10714,16463,2921,21734,15992,9162,25866,17235,32095,28219,9884,8393,34663,37614,23484,21883,23173,21826,25136,26201,34922,24029,27964,17394,25887,13877,8933,9738,4546,4482,5046,10495,12189,8978,9546,11510,12419,11811,12364,12762,12073,26675,16433,7172,25196,22748,25847,31753,27566,22812,13133,31007,7806,9916,17071,6507,3412,2834,11776,9339,6980,34987,7142,11737,6928,21346,20384,26148,37834,39197,26099,27925,64184,132357,22531,29971,44276,37039,22206,56563,19804,17088,15202,14818,26277,5198,4550,2097,15782,2966,3771,11333,14826,25217,39178,15848,5419,10507,10529,18719,15603,5297,7965,2901,8377,8246,4604,11430,11486,16063,2803,21028,16531,8758,25795,17460,32075,27974,10203,8509,35164,39163,24264,22948,22207,20851,24711,26300,36065,24452,29013,17571,24440,12059,9156,9616,4502,4385,4301,11340,13631,8200,8779,11644,11770,12188,12553,11624,10496,26910,17205,6598,26672,24009,26126,31360,28043,22802,12508,32464,7219,8457,18570,6039,3312,2990,12337,9908,6725,35508
2017-01-10,7716,11272,6947,21496,22985,28761,35351,43187,25742,29311,66202,131045,22388,31957,45688,36203,21156,56201,20847,17333,14503,15478,28707,6651,4675,2551,14969,3188,4215,11958,15484,25966,38974,16385,5346,10449,11648,17927,15635,5544,8241,3336,8511,8299,4992,13349,11048,16593,3002,22052,16657,9539,26667,18203,32786,29999,10032,8375,35621,37898,23716,22376,23592,22102,25663,26933,35920,24625,28296,17702,26091,13758,9075,10001,4712,4737,5249,10904,12736,9280,9642,11538,12557,11923,12686,13139,12104,26612,16883,7677,25287,22423,26552,33131,29162,23580,13483,31083,7958,9899,17744,7072,3482,3040,11984,9554,7228,36887,7174,11823,6757,21716,20879,27173,38515,40319,26335,27930,66137,130767,23153,31236,46061,38495,22338,57479,20918,17083,15381,14865,27485,6786,4686,2090,15654,3007,3927,11634,15273,25926,40614,16039,5404,10767,11448,19029,15900,5457,7965,3147,8486,8455,4699,11873,11707,16364,3031,21327,16949,9063,25891,18235,32769,29924,10323,8487,36356,39411,24450,23604,22762,21265,25052,27187,36891,25126,29709,17664,24987,11998,9257,9870,4679,4536,4534,11793,13731,8387,9016,11617,11921,12303,12743,11949,10746,26432,17858,7190,26528,24212,27026,32441,28982,23391,12970,32424,7331,8586,19077,6550,3465,3175,12248,10068,6841,36325
