date,start_id,end_id,amount
2017-06-01,3952376,3908308,705296
2017-06-02,4132000,4099833,756860
2017-06-03,4412153,4376171,804590
2017-06-04,4204934,4185187,703710
2017-06-05,3804479,3754846,659184
2017-06-06,3861160,3822107,733025
2017-06-07,3975309,3924666,731177
2017-06-08,4089863,4045328,775462
2017-06-09,4155690,4110448,787685
2017-06-10,4450554,4421993,840737
2017-06-11,4310147,4276213,716171
2017-06-12,3924208,3873285,680803
2017-06-13,3920158,3877479,729715
2017-06-14,4011634,3972047,749083
2017-06-15,4043571,4000571,760519
2017-06-16,4175312,4133768,788408
2017-06-17,4370220,4346606,817696
2017-06-18,4244782,4209929,689835
2017-06-19,3833562,3791461,706760
2017-06-20,3867370,3833635,695795
2017-06-21,3975635,3947681,729742
2017-06-22,4013955,3965095,736880
2017-06-23,4135704,4111549,810917
2017-06-24,4420580,4385590,823210
2017-06-25,4227085,4166045,646834
2017-06-26,3830638,3775386,627945
2017-06-27,3920667,3876060,699061
2017-06-28,3963513,3926262,691536
2017-06-29,3992625,3941372,699307
2017-06-30,4156503,4108164,729502
2017-07-01,4296447,4264973,680260
2017-07-02,4194026,4161163,579350
2017-07-03,3901117,3867062,517824
2017-07-04,3934731,3915689,515499
2017-07-05,3898883,3881960,589649
2017-07-06,3866280,3842034,627868
2017-07-07,4034076,3999955,732952
2017-07-08,4334929,4298707,721850
2017-07-09,4212644,4172190,654981
2017-07-10,3839137,3804228,624159
2017-07-11,3864698,3823904,678100
2017-07-12,3926592,3888937,724371
2017-07-13,4020183,3971352,759753
2017-07-14,4128500,4087469,779745
2017-07-15,4478097,4469345,770906
2017-07-16,4365086,4322291,703300
2017-07-17,3987523,3938128,648699
2017-07-18,3990619,3949521,696605
2017-07-19,4047175,3999720,740157
2017-07-20,4107189,4065717,771135
2017-07-21,4235652,4200239,785362
2017-07-22,4490865,4464003,799475
2017-07-23,4214675,4187656,679417
2017-07-24,3883557,3842845,659302
2017-07-25,3895391,3858482,658337
2017-07-26,3979164,3932221,691997
2017-07-27,4080175,4033823,736453
2017-07-28,4226173,4187659,764216
2017-07-29,4504979,4481699,764368
2017-07-30,4414589,4388880,696571
2017-07-31,3960148,3919164,630827
2017-08-01,3929683,3892486,663533
2017-08-02,3980077,3919111,715826
2017-08-03,4055948,4021306,736489
2017-08-04,4244995,4217307,757102
2017-08-05,4467874,4436435,739054
