date,amount
2017-01-01,1881644.0
2017-01-02,1611187.0
2017-01-03,2085175.0
2017-01-04,2101443.0
2017-01-05,2120337.0
2017-01-06,2314352.0
2017-01-07,1937634.0
2017-01-08,1567751.0
2017-01-09,2045259.0
2017-01-10,2089019.0
2017-01-11,2114250.0
2017-01-12,2138221.0
2017-01-13,2359014.0
2017-01-14,1933406.0
2017-01-15,1657793.0
2017-01-16,2085096.0
2017-01-17,2134714.0
2017-01-18,2154041.0
2017-01-19,2299776.0
2017-01-20,2366326.0
2017-01-21,2012182.0
2017-01-22,1829816.0
2017-01-23,2201983.0
2017-01-24,2237516.0
2017-01-25,2170093.0
2017-01-26,1900406.0
2017-01-27,790631.0
2017-01-28,1365770.0
2017-01-29,1404587.0
2017-01-30,1455450.0
2017-01-31,1609064.0
2017-02-01,1563403.0
2017-02-02,1988661.0
2017-02-03,2158018.0
2017-02-04,1989778.0
2017-02-05,1708957.0
2017-02-06,2143009.0
2017-02-07,2200629.0
2017-02-08,2242697.0
2017-02-09,2177183.0
2017-02-10,2357280.0
2017-02-11,2097391.0
2017-02-12,1825764.0
2017-02-13,2100706.0
2017-02-14,2164786.0
2017-02-15,2131304.0
2017-02-16,2139756.0
2017-02-17,2266985.0
2017-02-18,2226445.0
2017-02-19,1858209.0
2017-02-20,2125719.0
2017-02-21,2150944.0
2017-02-22,2139167.0
2017-02-23,2152590.0
2017-02-24,2343907.0
2017-02-25,1805330.0
2017-02-26,1719565.0
2017-02-27,1850801.0
2017-02-28,1614518.0
2017-03-01,2088270.0
2017-03-02,2082746.0
2017-03-03,2286334.0
2017-03-04,2009657.0
2017-03-05,1767325.0
2017-03-06,2100113.0
2017-03-07,2148167.0
2017-03-08,2201558.0
2017-03-09,2196081.0
2017-03-10,2398192.0
2017-03-11,2098085.0
2017-03-12,1829018.0
2017-03-13,2128030.0
2017-03-14,2166513.0
2017-03-15,2173542.0
2017-03-16,2210527.0
2017-03-17,2394927.0
2017-03-18,2115615.0
2017-03-19,1718679.0
2017-03-20,2080411.0
2017-03-21,2128111.0
2017-03-22,2180167.0
2017-03-23,2201499.0
2017-03-24,2399682.0
2017-03-25,1972933.0
2017-03-26,1653568.0
2017-03-27,2101086.0
2017-03-28,2141983.0
2017-03-29,2265063.0
2017-03-30,2172295.0
2017-03-31,2328590.0
2017-04-01,1821097.0
2017-04-02,1770690.0
2017-04-03,1709981.0
2017-04-04,1458729.0
2017-04-05,2058580.0
2017-04-06,2130010.0
2017-04-07,2335075.0
2017-04-08,2042040.0
2017-04-09,1769546.0
2017-04-10,2081239.0
2017-04-11,2143600.0
2017-04-12,2179344.0
2017-04-13,2179028.0
2017-04-14,2359435.0
2017-04-15,2059726.0
2017-04-16,1728420.0
2017-04-17,2047490.0
2017-04-18,2085030.0
2017-04-19,2137678.0
2017-04-20,2144884.0
2017-04-21,2363327.0
2017-04-22,2016698.0
2017-04-23,1752678.0
2017-04-24,2049638.0
2017-04-25,2094457.0
2017-04-26,2114255.0
2017-04-27,2155402.0
2017-04-28,2359528.0
2017-04-29,2027977.0
2017-04-30,1796867.0
2017-05-01,1764762.0
2017-05-02,2077880.0
2017-05-03,2140895.0
2017-05-04,2150702.0
2017-05-05,2350411.0
2017-05-06,1984044.0
2017-05-07,1746179.0
2017-05-08,2054209.0
2017-05-09,2087131.0
2017-05-10,2115085.0
2017-05-11,2121557.0
2017-05-12,2336489.0
2017-05-13,1914916.0
2017-05-14,1597316.0
2017-05-15,2034677.0
2017-05-16,2088784.0
2017-05-17,2110725.0
2017-05-18,2116909.0
2017-05-19,2403897.0
2017-05-20,2090508.0
2017-05-21,1792505.0
2017-05-22,2055062.0
2017-05-23,2071420.0
2017-05-24,2093947.0
2017-05-25,2117171.0
2017-05-26,2281500.0
2017-05-27,1763848.0
2017-05-28,1702175.0
2017-05-29,1655583.0
2017-05-30,1357266.0
2017-05-31,2095977.0
2017-06-01,2107018.0
2017-06-02,2063985.0
2017-06-03,1960262.0
2017-06-04,1508546.0
2017-06-05,2037286.0
2017-06-06,2075433.0
2017-06-07,2097990.0
2017-06-08,2095009.0
2017-06-09,2288723.0
2017-06-10,2025697.0
2017-06-11,1664051.0
2017-06-12,2029953.0
2017-06-13,2067159.0
2017-06-14,2051582.0
2017-06-15,2149397.0
2017-06-16,2273795.0
2017-06-17,1744245.0
2017-06-18,1503628.0
2017-06-19,2044528.0
2017-06-20,2066138.0
2017-06-21,2114792.0
2017-06-22,2140239.0
2017-06-23,2300609.0
2017-06-24,1940613.0
2017-06-25,1663229.0
2017-06-26,2013197.0
2017-06-27,2050309.0
2017-06-28,2071061.0
2017-06-29,2086858.0
2017-06-30,2314846.0
2017-07-01,1820472.0
2017-07-02,1642148.0
2017-07-03,2024841.0
2017-07-04,2054641.0
2017-07-05,2106355.0
2017-07-06,2119320.0
2017-07-07,2251187.0
2017-07-08,1912798.0
2017-07-09,1662013.0
2017-07-10,2073386.0
2017-07-11,2103855.0
2017-07-12,2138580.0
2017-07-13,2163060.0
2017-07-14,2252161.0
2017-07-15,1924814.0
2017-07-16,1657279.0
2017-07-17,2046562.0
2017-07-18,2087082.0
2017-07-19,2082781.0
2017-07-20,2104837.0
2017-07-21,2223758.0
2017-07-22,1859986.0
2017-07-23,1605936.0
2017-07-24,2016193.0
2017-07-25,2068046.0
2017-07-26,2084107.0
2017-07-27,2098313.0
2017-07-28,2204065.0
2017-07-29,1317347.0
2017-07-30,1055297.0
2017-07-31,1985582.0
2017-08-01,2052345.0
2017-08-02,2040878.0
2017-08-03,2104228.0
2017-08-04,2218507.0
2017-08-05,1912423.0
2017-08-06,1626024.0
2017-08-07,2042440.0
2017-08-08,2039859.0
2017-08-09,2117413.0
2017-08-10,2155811.0
2017-08-11,2285172.0
2017-08-12,2006184.0
2017-08-13,1688909.0
2017-08-14,2050724.0
2017-08-15,2114355.0
2017-08-16,2100176.0
2017-08-17,2114068.0
2017-08-18,2242805.0
2017-08-19,1947925.0
2017-08-20,1693514.0
2017-08-21,2046170.0
2017-08-22,2069924.0
2017-08-23,2130195.0
2017-08-24,2137625.0
2017-08-25,2270092.0
2017-08-26,2058549.0
2017-08-27,1676223.0
2017-08-28,2114443.0
2017-08-29,2056158.0
2017-08-30,2065918.0
